no,username,handle,tweet_text
1,ਅਦਨਾਨ ਅਲੀ ਖਾਨ ( عدنان علی خان ),@AdnanAliKhan555,Inspired by #farmersprotest and the way #punjab Sikhs demonstrated principles of sikhi maryada TN party fields seven Tamil Sikhs in LS polls @x #justsaying @SherEPunjab600
2,C~M,@Chetan0588,People say why #FarmersProtest #NoVoteToBJP #NoVoteForBJP
3,"Mark $MON NYAN $BLOCK, $PARAM $BUBBLE",@MarkAnaga,$BUBBLE @imaginary_ones $EVERY $BLOCK $PARAM $FARMING #FarmersProtest #Farm all
4,Neel Kamal,@NeelkamalTOI,"#FarmersProtest continuing to cause heartburn among candidates belonging to BJP, JJP and now even AAP welcomed in Punjab. #NoVoteForBJP #ShameOnBJP"
5,SophiaGeorge,@SophiaGeorgeNew,Too much philanthrophy? like #TooMuchDemocracy ? mebbe...?? #justSaying #farmersProtest #KisanAndolan
6,Adv. Avtaar S Turka / अवतार तुरका,@AvtaarTurka,"When PROTESTS become CRIME, #Democracy is in danger #Ladakh #Farmersprotest #TribalsOfHasdeo #ManipurViolence The grim reality of India is lack of spine & minority hatred which has affected the moral compass of India's consciousness"
7,Erin,@freedom4alltime,It's time to stand by our farmers!! We owe to our land and our people... #Masle #ਮਸਲੇ #FarmersProtest @birsinghmusic
8,Najish Khan,@NajishKhann,"Bravo more power to you!! @mandeeppunia1 for your constant courageous efforts in support #FarmersProtest HumanRights, freedom of press and #FreedomOfSpeech Keep Rocking!! #FarmerProtest2024"
9,ਅਮਨਦੀਪ ਕੌਰ,@AmanKaur_45,SC refuses to stay HC order directing judicial inquiry into farmer's death during protest #FarmersProtest #SupremeCourt #ShubhkaranSingh #Punjab #Haryana #Shambhu
10,Pradeep Nain,@ParNain9,Why not an FIR on those who blocked the road Hmm RIP #Punjab #Farmersprotest #LokSabhaElections2024
11,Dr Amandeep Dholewal,@DrAmanDholewal,Is punjab govt working hand in glove with BJP? @BhagwantMann govt has notified pvt godowns & silos of corporates like Adani as Mandi's purchase centers in 9 districts of Punjab. This is one of the 3 laws that led to #FarmersProtest in 2020.Punjab govt is facilitating corporates.
12,Harpal Singh Sangha,@HarpalSSangha,Please Support Our's innocent Farmer's #FarmersProtest2024 #FarmersProtest
13,Praveen Dalal,@IMPraveenDalal,"The funeral for Shubh Karan Singh was held today. He was killed during the #FarmersProtest2024 after @police_haryana opened fire at point blank range. After @PunjabPoliceInd registered a ""zero FIR"" to open an investigation, farm leaders and the family of the Martyr proceeded to"
14,Brandy,@BrandyL68992158,Why didn't @rihanna come for the #FarmersProtest2024 but came to twirl her a$$ in #AmbaniFamily function? Lol ..anndata are so disappointed....
15,rahul,@rahulwho_,The great Farmer Rihanna @rihanna has arrived in India to support #FarmersProtest2024 by dancing in the wedding ceremony of Ambani's Son who the farm protesters consider their enemy. #Rihanna #AmbaniWedding #FarmerProtest
16,Kisan Majdoor Morcha,@KMmorcha1,Passport revocation of Haryana Protestors / Facts #FarmersProtest #FarmersProtest2024
17,Shubhdeep Sidhu,@ShubhdeepS86319,"Protesting farmers ""passport"" cancelled! Why do protesting farmers have passports? How many farmers in your state can afford to travel abroad? #FarmersProtest2024"
18,Greta Dosanjh,@DosanjhGreta,This could backfire seriously...#FarmersProtests
19,Supriyo Chakraborty (Modi's Family),@Supriyochakra,#India: the Indian govt's response to #FarmersProtests violates fundamental freedoms & democratic principles. Resorting to colonial-era laws like the Telegraph Act of 1885 to suspend internet & SMS services is unacceptable. Unroll more on this thread
20,J_Rod__Canada,@J_Rod_Canada,"#SanjaySingh. mandi #FarmersProtest2024 #FarmersProtests #KisanVirodhiKhattarModi BUT Revolution begin in ""Punjab"" . . #AAP Govt. #GharGharRationPunjab"
