no,username,handle,created_date,tweet_text,likes
1,TheCommonSense,@CommonSenceUK,2024-03-25T19:50:00.000Z,You won't see those pair of c*nts Rishi or Kier doing this..#farmersprotest,17.0
2,SHIKHA,@Shikha__Rawat,2024-04-17T07:02:38.000Z,#FarmersProtest farmers disrupt rail traffic at #Shambhu border for release of three arrested farmers,32.0
3,ਅਦਨਾਨ ਅਲੀ ਖਾਨ ( عدنان علی خان ),@AdnanAliKhan555,2024-04-19T17:45:41.000Z,Inspired by #farmersprotest and the way #punjab Sikhs demonstrated principles of sikhi maryada TN party fields seven Tamil Sikhs in LS polls @x #justsaying @SherEPunjab600,10.0
4,#SaveSoil #ಮಣ್ಣುಉಳಿಸಿ (मोदी का परिवार),@ShivSeeker,2024-04-19T08:12:54.000Z,FARMLAND TO BE USED FOR SOLAR PANELLING Agenda 2030 writ large #wef #Farming #FarmersProtest #energy #government,30.0
5,IndiaToday,@IndiaToday,2024-04-21T16:07:42.000Z,Farmer protest at Shambhu: 73 trains cancelled on Ambala-Amritsar route #FarmersProtest,12.0
6,Gabriele M.,@Gabriele_M24,2024-04-19T08:12:54.000Z,FARMLAND TO BE USED FOR SOLAR PANELLING Agenda 2030 writ large #wef #Farming #FarmersProtest #energy #government,30.0
7,PREM,@MGv6C8sHBwJsLSU,2024-03-29T14:32:48.000Z,Exploring Impasse and Perspectives Amidst the Farmer-Government Standoff. https://reflections.live/articles/5572/stalemate-unbroken-analysis-of-the-governments-msp-offer-and-farmer-resistance-in-indias-ongoing-protests-article-by-klaimed-bruises-14841-luc5yx9v.html… #analysis #government #msp #farmersprotest #opinion #peoplesreflecions,
8,Matthew Steeples,@M_Steeples,2024-03-26T06:08:04.000Z,Farmers deserve ALL our support - whether we are Remainers like me or Brexiteers. They are the guardians of our countryside and the supplier of our food. They were better off when we were in Europe and they'd be better off if we rejoined. It's as simple as that. #FarmersProtest,50.0
9,C~M,@Chetan0588,2024-04-23T03:29:39.000Z,People say why #FarmersProtest #NoVoteToBJP #NoVoteForBJP,
10,Aftab Siddique,@alm144,2024-04-09T02:35:28.000Z,"Farmer Kaka Singh, from Tohana, HR attained martyrdom at Khanauri border after his health deteriorated, due to tear gas shelling earlier. Human cost of #FarmersProtest increased to 11. Modi Govt crony policies and torture taking farmers lives everyday. #FarmersProtest2024",18.0
