hashtag,count
#farmersprotest2024,130
#farmersprotest,58
#farmersprotests,34
#farmersprotests2024,19
#farmerprotest2024,17
#farmerprotestindelhi,15
#justiceforsidhumoosewala,12
#farmerprotest,10
#punjab,9
#farmersprotestindelhi,9
#farmers,7
#kisanandolan,5
#msp,4
#khalistani,4
#farmersprotest2,3
#shubhkaransingh,3
#farmerlivesmatter,3
#narendramodi,3
#rahulgandhi,2
#delhi,2
#democracyunderattack,2
#budgetspeechcomp,2
#haryana,2
#democracy,2
#kisanandolan2024,2
#farmer,2
#haryanapolice,2
#shambhuborder,2
#manipurviolence,2
#agriculture,2
#ghargharrationpunjab,2
#aap,2
#kisanvirodhikhattarmodi,2
#sanjaysingh,2
#सहक,2
#modi,2
#loksabhaelections2024,2
#justsaying,2
#sikhs,2
#novoteforbjp,2
#nofarmersnofood,2
#internationalwomensday,2
#rihanna,2
#shubhkaransinghmedicalreports,1
#sandeshkhali,1
#newdelhi,1
#dhruvrathi,1
#samdishbhatia,1
#dhruvrathee,1
#blackday,1
#msdhoniï,1
#fakefarmersprotest,1
#shiba,1
#khalistanrefer,1
#digitalindia,1
#terroristindia,1
#selectednotelected,1
#watch,1
#fre,1
#shaheenbagh,1
#evilmethods,1
#terrorist,1
#fakefarmers,1
#gareebparvaarpoonjipatisarkar,1
#khalistan,1
#khannauriborder,1
#villagelife,1
#kannada,1
#karnataka,1
#bengaluru,1
#selfies,1
#voices,1
#delhiwantskejriwalmps,1
#farright,1
#macron,1
#haryanapolitics,1
#bharatratna,1
#shamemodigovt,1
#pmqs,1
#awards,1
#vikshitbharat,1
#khanauri,1
#satyapalmalik,1
#dillichalo,1
#farmerprotests2024,1
#manipur_violence,1
#bjphataobetibachao,1
#kisanektazindabaad,1
#haryanvi,1
#bahadurgarh,1
#kheti,1
#whatkilledshubhkaransingh,1
#shubhkaransinghpostmortem,1
#khalistanis,1
#shubhkaransinghautopsy,1
#ï,1
#linkedin,1
#h,1
#unemployment,1
#directbenefittransfer,1
#primetimestelevision,1
#swaminathancommission,1
#belltolls,1
#khalistanmurdabad,1
#dravidianvision,1
#india,1
#ambaniwedding,1
#ambanifamily,1
#modiinterview,1
#fastestphone,1
#novotetomodi,1
#women,1
#inflation,1
#kisanvirodhinarendramodi,1
#scripted,1
#modilies,1
#shambhu,1
#supremecourt,1
#freedomofspeech,1
#ਮਸਲ,1
#masle,1
#tribalsofhasdeo,1
#ladakh,1
#toomuchdemocracy,1
#shameonbjp,1
#farm,1
#novotetobjp,1
#interministerialcommittee,1
#meme,1
#khalistanifarmersprotest,1
#dabajawanmarakisan,1
#msp_ï,1
#mahashivratri2024,1
#womenempowerment,1
#internationalwomensday2024,1
#_ï,1
#nupursharma,1
#iwcwithrahulgandhi,1
#kisaannyayguarantee,1
#nofarmernofood,1
#breaking,1
#linkedindown,1
#justiceforaarthi,1
#facebookdown,1
#instagramdown,1
#justiceforankitabhandari,1
#andhbhakts,1
#dj_ï,1
#msp_,1
#ambani,1
#rihana,1
#freespeech,1
#amitshah,1
#cooperative,1
#minofcooperatn,1
#sahakarsesamriddhi,1
#ncct,1
#cooperatives,1
#kirankumarvissa,1
